Id,Text,Target
289615302801629184,RT : My life is a joke,0
289615403624316928,I'm sad,0
289615436272779264,"I live a sad, sad life",0
289615441377259520,My life is so hard http://t.co/2stF6Yo2,0
289615508507074560,"I'm very proud of myself for remaining drug-free and excluding alcohol from my life, all together",1
289615791752622080,My life is so hard http://t.co/2stF6Yo2,0
289615806248144896,I feel good,1
289615902578733056,😓omg i know platforms for life but I have my days ok,1
289615936472891392,Talkin bout I'm black but I'm blessed.,1
289616141909889024,I feel like a good person,1
289616154471849984,Live my life with no regrets,1
289616246754930688,RT @tylerwhite_3: Damn right I love the life I live,1
289616250932428800,RT : I'm so happy,1
289616292816777216,So happy I have the friends I do.,1
289616405542883329,Young and I'm living shit. *dougies,0
289616426740895744,I have the worst headache ever,0
289616460538589184,I feel so good,1
289616494210473984,My life might I have sum ups and downs but the end of day I love my life. I wouldn't change a thing,1
289616498388004864,I know what I want.,1
289616523440553984,"RT @LaraJackilara13: I just want to be happy, just wanted to be happy",0
289616540188438529,I got that good love girl you didn't know,1
289616645113139200,I do what I want,1
289616657729597441,i want to be happy again,0
289616687253311488,RT : I feel like a disappointment to my parents,0
289616829746401281,I'm happy happy happy  __ #lovinglife,1
289616871790108672,RT @Bink_iEE: I'm Depressed,0
289616879960592384,I'm just blessed that's all,1
289616942996811776,I'm stressed,0
289616947170119680,Happy to be where I am at this point of time in my life,1
289616963938955264,RT @woahdangmaleny: I'm happy with my life and the people in it,1
289617018351673346,why can't life be great sometimes that all I ask,0
289617072760160257,I am so blessed. <3,1
289617119220469760,I'm so happy,1
289617135938973696,RT : I hate laying by myself,0
289617148333150208,I love the life I live,1
289617148471570432,please. I do what I want,1
289617160567939073,RT @DIDENOK: I love my job! I love my life! I love my God. Yes,1
289617169338224640,I hate being by myself,0
289617211272867841,I am one unhappy heat fan!! __,0
289617228054269952,I know I'm nothing,0
289617295423188992,I very much enjoy the single life as well,1
289617333041905664,RT : I Do What I Want,1
289617425136250880,I love life and life loves me back. :-) #DreamersWin http://t.co/FdpCOiR4,1
289617462960476160,Fuck my life! Ah,0
289617488126304256,Haha I have no life,0
289617496611364864,Im glad I have a good friend like you,1
289617592891621376,I'm always the bad guy,0
289617614148345856,!!!! RT : I LOVE my life because I LIVE my life.,1
289617622507610112,RT :  wait I have the best girlfriend  :),1
289617622520197120,RT : I love my life,1
289617664144457728,Only thing that i want is to be happy,0
289617710420209664,Starting to hate my life again,0
289617714656448512,I do what I want,1
289617731488206850,I'm hard to love,0
289617798731280384,I swear my life is filled with bad timing,0
289617857380229120,RT : I don't know why I feel so down on myself all the time,0
289617860618223616,I love me myself and I,1
289617899096788992,I'm good,1
289617932835758082,Life sucks and I hate everything,0
289617953723404288,"I guess, I suck at everything",0
289617958098067456,I'm so happy,1
289618016621191168,I have the worst headache ever omg,0
289618021012631552,My life sucks,0
289618037542359040,i'm fine,1
289618087911780354,"I have the best life ever. Excellent family, excellent friends. #blessed. Wouldn't change it for the world. #SoHappy",1
289618113119539200,I'm blessed in so many ways,1
289618121390694402,“: It's Been Two Sad Ass Days For Me.”why,0
289618184393334784,"Sometimes, I'm just a complete fuck up. #aggravated",0
289618280765878273,I do what I want,1
289618326928367618,Seriously though? I'm so blessed,1
289618364744228865,I hate being me. Fuck my life,0
289618532226969601,my life is complete,1
289618578695663617,I'm happy,1
289618591312125952,"I love my life, i have one wonderful girlfriend and 2 healthy children. 2 parents that give a shit about me and...",1
289618658420989952,I hate crying myself to sleep,0
289618666759266304,Lmfao. I hate my life,0
289618708907831296,RT : I hate how much I over-think at night,0
289618713051791360,RT : I am so stressed I could vomit,0
289618758945865728,God stays with me so I know I'm blessed,1
289618815665463296,I'm good ;),1
289618872296939521,I'm still so sad,0
289619010855768064,RT : Laid back chillen blowing good # BOSS #$TATUS man I'm blessed Real Talk,1
289619027565895680,Fuck my life,0
289619061023862784,I'm sorry I'm just stressed tf out,0
289619069550858240,Fuck this cold world. I fuckin hate my life,0
289619090383974401,I guess I'm just a bad guy.,0
289619098751619072,RT : I just hate how I know I deserve someone so much better but I accept less than I deserve,0
289619195296096256,I do love myself,1
289619346320408576,My life is good,1
289619363017924609,RT : I really do love my life,1
289619455493947392,My life is way too good to be true,1
289619501413179393,Everything i want i get,1
289619572976394240,RT : I'm fine,1
289619619029843968,I'm having a good time,1
289619643902091267,"I'm so happy I'm doing good in life, make these bitch mad & my family proud",1
289619757395767296,"I thank GOD for every blessing, death, love, heartache, EVERYTHING!!! In everything is a lesson and I live and learn everyday",1
289619794947371008,but anything I want cause I got a check,1
289619866451841024,I got what I wanted,1
289619979547058176,RT :  I have the best friends ever,1
289620210334437376,RT @__youreWelcome: I think im depressed,0
289620264701014016,I have a great life I'm very blessed. I love my family and friends for everything they do. Mom is my fav since she took me to see The Biebs,1
289620346338942976,i love making myself laugh,1
289620453541158913,MY LIFE IS GREAT,1
289620483056492545,vandaag 1/8 fuck my life,0
289620499590434816,I have the worst headache ever,0
289620516443140096,Loving My Life At This Point,1
289620722106654720,I'm so happy,1
289620734471454720,RT : I like anything that's bad for me,0
289620780793356289,RT : I just really hate myself tbh,0
289620885634179072,I have such good friends :'] thankyous,1
289620898275799040,Everything is just so fucking sad in my life,0
289620914851688448,I'm happy I have a girl like her,1
289621040752107523,fuck my life,0
289621091020832769,FUCK MY LIFE LOL,0
289621128895406080,I'm sad,0
289621170674868224,I'm right where I need to be,1
289621179105415168,I'm happy,1
289621183408787456,My life is golden,1
289621258793013248,RT : I'm always the bad person huh...,0
289621284046925824,I'm so proud of myself,1
289621300765392896,I'm so sad,0
289621401470652417,Sneezing :' *god bless me,1
289621531456323584,Lol I have no life,0
289621535528984576,I adore the life outta you,1
289621548019621889,I fuckin hate my life . Worst thing ever havin my 2 love ones fighting I can't deal with this no more,0
289621577560125441,RT : I really do keep shit to myself,0
289621586124890113,I have a reason to be happy,1
289621653170814976,I have the best girlfriend,1
289621711903682560,I am easily satisfied ... with the very best,1
289621737048522752,I have the best friends ever hahaha,1
289621829373542400,I love my life and all my friends,1
289621854551937024,BIRDIE! I'm good how are you,1
289621866954506240,I'm in a really good mood,1
289621887921836033,I make  feel GOOD,1
289621892183240704,I need something to keep me busy cause I have no life lol,0
289621921639825408,I'm so Happy,1
289622114573623296,“@KoMarzo: I love how veiny I am.” #SkinnyDudePerks,1
289622139533922305,I hate being depressed,0
289622211076186112,My life is an endless tragedy,0
289622382694506496,I'm sad,0
289622437421780992,I had a pretty good day,1
289622689063247872,I just want my life to be over,0
289622705941127168,all I feel like doing is crying... #depressed,0
289622810790338560,I have the Best parents ever,1
289622840146284545,I`m sick of this life,0
289622911604637696,RT : I Love My Life And All The People That's In It,1
289622932374839296,My life is like a fart,0
289623087530528768,lmao naw I'm jp I'm a good boy,1
289623175803850752,I know what I want,1
289623427495632896,I can't let this shit keep on getting to me,0
289623506986094592,nah I'm good,1
289623527945023488,"Can't sleep, fuck my life",0
289623548903964673,The life I live!! lol,1
289623679078371328,My life is good right theres just a few things that keep me up thinking at night,1
289623746074005505,I'm blessed,1
289623750402523136,&amp; of course I'm the bad guy 😎🔫🔪,0
289623754374533120,"I'm just trying to get threw these weeks dnt know where I going to be next year, I just want to be HAPPY",0
289623800675459074,Content with how everything in my life is going.,1
289623809261178880,I'm blessed and highly favored,1
289623834049531904,nah I'm good,1
289623903280697346,i'm having too much fun with this tbh,1
289624085779075072,My tattoo says Blessed cause I truly am blessed,1
289624153022160896,I hate traveling by myself this late,0
289624232869113856,"I Love Life, Thank You",1
289624262157950976,Fuck my fucking life,0
289624387898966017,I want more,0
289624421663125504,I Don't Make People Happy I'm Just A Fuck Up,0
289624467439763457,When i want to cry i just think about how unfair life is,0
289624534561210368,could my life be any more fucked up,0
289624551502012416,RT @Jayz4Dayz: I'm happy with life.... No complaints... No more pain,1
289624572372869120,Why my life gotta be so sad,0
289624639519477760,Why is my life such a joke #likehonestly,0
289624874161426432,I'm a fuck up,0
289624878510899200,I'm good,1
289624912207958016,Happiness is what I want in life &amp; I have it,1
289624916284805120,"On God, I Going Down The Wrong Path. I Need To Change My Life Around",0
289625025428987904,.-. Wow my life is quite pathetic now that I think about it,0
289625100926468096,Once again.... Fuck my life #soearly,0
289625117661741057,fuck my life,0
289625289556893696,No good relationships No good people no good grades no good sleep... I even don't have a pet!  No good life,0
289625369202524160,I have the best boyfriend ever,1
289625369210941440,I can sleep a very happy man,1
289625499456638976,RT : The God whey dey bless me no dey sleep,1
289625558181105665,Ilove my fucking. Life,1
289625574928961536,I'm so blessed.,1
289625575038005249,I'm disgusted with myself,0
289625641953947648,"RT @Liss_J95: I can honestly say that life is amazing right now, couldn't be happier _",1
289625767682375680,RT : I love my life,1
289625776096153600,RT : i shouldn't be thinking myself into bad moods,0
289625792860807168,I honestly feel so terrible about myself all the time,0
289625818022420480,Fuck my life,0
289625931419623425,I'm so happy,1
289625981650604033,RT : I want more,0
289626065649926146,long life with my beautiful life,1
289626161892438016,Im too disappointed I cant be more disappointed in myself,0
289626245849829376,I'm so miserable,0
289626254452330496,RT : I'm proud of myself,1
289626333976358912,lol me either life sucks,0
289626472438710272,RT @LeslieeDMNDS: Ugh I have no life,0
289626514402721792,RT : I'm hard to love,0
289626593914130432,RT : My life sucks so bad,0
289626677875728384,RT : God stays with me so I know I'm blessed,1
289626745118789632,I feel content with what I did,1
289626749296324609,"Mom, shut up. I do what I want",1
289626753360592896,God bless me (˘ʃƪ˘,1
289626896109563904,I'm ugly,0
289627080604405760,But damn am I grateful for everything/everyone in my life,1
289627147675512832,I have fun run,1
289627231632908288,I hate forcing myself to sleep,0
289627449820606464,RT : I need a change,0
289627713839452161,"I had everything that I wanted	1
289627713898180608	I LOVE MYSELF	1
289627734999703552	I have to say I have the best sister ever	1
289627743207960576	I do what I want	1
289627768487034880	RT @cailynbruuh: I JUST WANT TO BE FUCKING HAPPY	0
289627873390755840	I love my life	1
289628028248674304	maybe it's because I'm actually happy with how my actual life is going so I don't have to immerse myself in the Internet	1
289628045176893440	lifes got me fucked up	0
289628095642750976	RT : I can do bad by myself	0
289628100013203456	RT @AleFdezA: my life is a perfect graveyard of buried hopes	0
289628112147337216	God bless me	1
289628145924046848	i hate myself at night	0
289628238404284416	It won't get better. I'm fucked up for life. @ShortieeCoCo	0
289628292674371584	Why am I letting this shit get to me though	0
289628317940858881	I do what I want	1
289628372458422272	damn ... fuck my life	0
289628418667077632	TnkGod 4 life.I feel blessed	1
289628468952592385	Why am i even sad about it	0
289628502360195074	I am supaaa happy! :D	1
289628703842000896	I hate my life but that's nothing new but this is worse	0
289628825388740608	RT : Im happy with what i have	1
289628922017099776	I believe im living a good life all though I face situation im living	1
289629038018965504	I'm pretty disappointed in myself	0
289629052032131072	RT : God stays with me so I know I'm blessed	1
289629089613115392	I'm happy	1
289629114879602688	I'm blessed	1
289629114913136641	I have no life	0
289629140058009600	I am the biggest piece of shit alive I am a waste of space I fucking hate myself	0
289629144172601344	I'm sick of my life here. I want to start over in somewhere new. #canijustgraduatealready	0
289629207250751489	RT : I have no life	0
289629314469724160	i'm fine	1
289629429347524609	RT : I'm so stressed out	0
289629467205324800	I Love My Life	1
289629488021663744	Honestly I must confess God has blessed me with so many great chapters in my life. #humbled	1
289629507684548608	RT : I hate how much I stress over nothing	0
289629513388814339	: I say too many things I regret"" my life",0
289629597245505536,"RT @Libras_R_Us: As a #Libra, I get revenge by living a great life",1
289629647795261442,I LOVE LOVE LOVE LIFE,1
289629672948502528,Wat can u do?I'm blessed already,1
289629798395961344,"i'm good man,just relaxing",1
289629840477405184,Omg I have the worst headache,0
289629861276962817,naw naw I'm a good boy! Lol,1
289629945293062144,"Oh oh, I want some more",0
289630020849242112,I'm a really happy woman,1
289630033583165440,i'm so sad,0
289630146791604224,all i want to do is leave a positive vibe on this world and enjoy a good life,1
289630150717489152,i wish i could say im happy,0
289630238965641218,i can finally enjoy college life.,1
289630239011782657,RT : God stays with me so I know I'm blessed,1
289630243063463937,@sapochat i am exhausted and hungry. happy is no where to be found,0
289630360541749248,When am I ever gonna be truly happy for once #probablynever,0
289630415155781632,"I have the most boring, most miserable life any fucking teenager could have. Fuck my fucking life",0
289630436244717568,RT : God stays with me so I know I'm blessed,1
289630654105276417,I HATE MY LIFE,0
289630683410862080,I love a good chase.,1
289630754844073986,nope I hate my life haha,0
289630758874800128,Went shoppin with my mama and aunt.. God I love my life!!(: wouldn't change it for the world<333,1
289630830207303680,“: How did I end up at the Boot I hate myself”,0
289630918283509760,"I love where I'm at in my life!! I gave up sex, that bad relationship and just more focused and I can honestly say I'm truly happy",1
289631035866632192,RT : I live a blessed life thank God,1
289631073242066944,RT @emmataskerr: really miss my old happy self.. don't know who I am anymore,0
289631195141140480,"RT @pandji: I would be an idiot, to not be thankful with my life. Even the failure is a blessing",1
289631216007790592,I'm happy,1
289631262245797889,"I love my life, but I love it even more between the hours of 11 & 5 a.m",1
289631333666402304,Everytime I lurk I find something good,1
289631480404115456,I am a very blessed man. #11013,1
289631585383370752,RT : I need more adventurous people in my life,0
289631652303495168,Like I'm so proud of myself,1
289631761338617856,"I love my life, I love myself, I don't care everything people says about me, this is me and I don't have to much time for give them fck",1
289631765549682688,I am still smiling. #lovemylife #808,1
289631887348088832,I'm ugly,0
289631950396878848,&amp; every boy keeps running back EVERY lol I love my life don't need no nigha to keep me happy  ha ♡ #dumbgirls,1
289632109545529344,RT : I'm proud of myself hohohohoh,1
289632138842759168,So true! I've been having so much fun with it,1
289632252252520448,I'm doing pretty good myself,1
289632260586606592,I hate how un-photogenic I am,0
289632302689030144,RT : I'm proud of myself hohohohoh,1
289632382187864064,I can do bad by myself,0
289632419781410816,I have an amazing life,1
289632721834213376,"I complain a lot, lol I hate my life",0
289632843615838208,ibi God idey bless me o,1
289633002819055617,"i'm generally a happy person, but idk",1
289633015368396800,I have the best fans ever!!!,1
289633040756518912,Anyways I just felt like showing off how much I love my family,1
289633267232165889,Why am I so sad. Haha,0
289633330184466433,Just feel so empty and sad.had enough of everything now.all I ever wanted was to be happy with my family and friends and its ruined,0
289633477068988416,LOVE MY LIFE <3,1
289633493644886016,I am easily satisfied ... with the very best,1
289633531485892608,I do what i want!,1
289633541971652608,"literally though, fuck my life",0
289633627740966912,I'm loving this life!!!!<3,1
289633686670962690,I have the best one,1
289633804241489920,I'm a horrible person lol,0
289633816681779200,Like omfg I totally meant to say I fuckin hate my life,0
289633883824201728,This is why I chose this life. And I love it,1
289633888081424384,My life is a joke,0
289634085209530369,RT : Uh I kinda love my life,1
289634265342279681,"“@_MattyC87: All in all, I'm pretty happy with my life",1
289634269838594048,i have all these good intentions about my life but my laziness ruins all of them,0
289634362088124416,I'm sad I know,0
289634378802405377,Fuck. My. Life,0
289634701612814336,I hate my life,0
289634701755428865,RT : I have the best Boyf 💖,1
289634718339706880,I'm so sad,0
289634752133230592,I hate how much I over-think at night,0
289634768713314304,RT : God continues to bless me,1
289634840247144449,"I simply wish to be happy and nothing more, and my wish comes true daily",1
289634844319821824,I'm Proud Of Myself,1
289634860715360257,RT : I need more adventurous people in my life,0
289634911525171200,RT : I'm way too tired what is life,0
289634986729033728,I love my life without you in it,1
289635020342190081,RT : And I'm here like I love my life. Cause I do what makes me happy,1
289635074973003776,RT : God continues to bless me,1
289635083365777408,I love my job and where I work,1
289635116794388480,I juss love my life &gt;&gt; ツ,1
289635464879697920,I'm having happiness withdrawals,1
289635477584236545,"i'm not lucky , i'm blessed <3",1
289635527924252673,Oh how I hate the bad guy,0
289635536233185280,sigh my life is hard,0
289635565618470912,I wish I could truly say I'm happy,0
289635599017734144,I'm fine,1
289635611705499648,i wish.......to be happy *ulala,0
289635708363218944,RT : I disappointed myself,0
289635813036269569,Lol so be it ! I'm happy,1
289635850852134912,Glad I got who I need in my life,1
289635867641921536,RT : I get jealous of stupid things,0
289635905445179392,RT : i'm actually ugly in real life,0
289635926387343360,I'm good,1
289635951796432896,RT : I'm so stressed,0
289635951838392320,"RT : I love my life, where I'm at, and where I'm headed. I have the best of friends an an amazing family",1
289636022621462528,I so love my life #incredible #eartoear 💋 #blessed,1
289636102640390144,I need more,0
289636232793825280,I'm a good girl to O:-),1
289636262053289984,Loving my life and the ones involved,1
289636400259796992,Can't describe how happy I am with everything,1
289636450683731970,I'm blessed with this truth,1
289636559827902465,Fucking hell I'm a miserable bastard,0
289636727453253632,RT @FRIENDSHlP: I am happy because I prefer to be,1
289636878431440897,I don't have any animosity towards you. I know what happy feels like now and I'm loving my life,1
289637008555532288,I want to be happy. I feel so miserable,0
289637029568995328,I hate myself everyday and each day a little bit more,0
289637340077502464,I hate myself,0
289637381856972801,"thats good, I am doing good man",1
289637394498600960,I'm sad,0
289637398554476544,I better marry someone hilarious cause I refuse to have a boring life,0
289637469996072960,RT : I better marry someone hilarious cause I refuse to have a boring life,0
289637604264116225,Love my life,1
289637616725393408,Fuck my fuckin life,0
289637633007693825,RT : Why I Be Letting Lil Shit Get To Me,0
289637713232162816,I'm so sad,0
289637855922376704,RT : I better marry someone hilarious cause I refuse to have a boring life,0
289637868526252032,im living life how i want,1
289637990161076227,I'm in a good mood,1
289638006854402048,"RT @lsdxtcthc: I hate it here, I hate everyone, I just fucking ugh. Life hates me",0
289638094750220289,I'm In Love With Myself ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♡♡♡♡♡♡♥♥♥♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♥♥♥♥♥♥♡♡♡,1
289638266997727233,I Dream Of Life Without Pain,0
289638443003293696,i am a terrible person for laughing,0
289638505896882176,https://t.co/mgeGYHQ4 life is good i wont take no outs,1
289638530974642176,I'm good,1
289638564772315136,I hate how paranoid I am,0
289638585538318336,Cheer in 6 hours..boy do I love my life..,1
289638795278708736,My twitter life is so sad bruh i got no followers smh that's why I like Instagram way better I'm famous on that shit😎 Lol,0
289638799678529537,I declare: I am blessed,1
289638887633068032,I'm living a really good life better then urs hahaha,1
289638908285825024,I'm so happy,1
289638921179115520,Im laughing right now cuz my life is fucking awesome. Lmfao,1
289639051257057280,I'm happy,1
289639080663326720,I hate how crazy I can get!!,0
289639210724515840,Am I really a bad person,0
289639244165677056,I'm hard to love,0
289639256475975684,I think I know what I want,1
289639265019768832,i make the best,1
289639353326645249,I am easily satisfied ... with the very best,1
289639432825495552,RT : Lol I'm good,1
289639462072373248,i'm good,1
289639483324915712,RT : I hate myself for procrastinating,0
289639617559404544,I'm a damn good person tho,1
289639646684672001,yez..i'm a good leader..k,1
289639764364242944,thought i had a good one,1
289639806206623744,I love how amazing my life is,1
289639906362396673,Uuhahaha I love my life,1
289640099568832514,I wish everything was different,0
289640112399212545,I'm so happy baby,1
289640137409843200,"Falling asleep with a smile on my face, and laughing on the inside. Life is amazing :): http://t.co/T1nsaPCK",1
289640183639465984,"RT : ""I'm the realest n*gga ull ever meet"" = I'm full of shit",0
289640351407423488,But actually I've never been so disgusted in my entire life,0
289640468734685184,I have no life,0
289640477467242496,Wow I almost shit myself,0
289640544525770752,I'm a good girl,1
289640573600673792,RT : Man I love my life I don't care what anybody say about it,1
289640594739965952,RT : Why am I always so sad at night,0
289640712159506432,RT : I have such a good heart,1
289640729117073408,I'm so happy,1
289640825514766336,I HAVE THE HOTTEST FRIENDS,1
289640875645104128,I like myself,1
289640875825459200,RT :  I make stupid decisions.,0
289640997254750208,My life is the opposite of sucks. I know that doesn't make sense but I love it. #NoRegrets,1
289640997435092992,RT : I hate laying by myself,0
289641005618188288,RT : I hate my life,0
289641177660133377,I wouldn't change a thing,1
289641546695979008,I so much love my life,1
289641710227685376,I am truely proud of myself,1
289641743765364736,I'm verry happy with myself,1
289641785871970304,Yall think I live a perfect life,1
289641844613189632,RT : I love my life & the people in it,1
289641852846632960,RT : i hate how easily i get jealous,0
289641924439199744,I always make a good one,1
289642440334405632,RT : I live such a beautiful life. ❤❤,1
289642461272367105,"I'm a happy person, well goodnight",1
289642654172577793,I'm blessed,1
289642670836563968,I hate life -_- Why can't shit just be free,0
289642671042084864,I feel good,1
289642800742531073,2012 was a good year it made me realize a lot of shit an it made me who I am today now that its 2013 I feel like I achieved my goals in life,1
289642842832392193,RT : I'm so stressed,0
289642876374245377,แต่เรื่อง my life is beautiful ใครดูไม่เศร้าให้ตบ,1
289642926852689921,I'm stressed out though,0
289643115457945600,All my life is trouble,0
289643388188360704,"RT @damnitstrue: Dear God, thanks for this beautiful life and forgive me if I don't love it enough",1
289643442504605697,@KendraZenzen: I. Suck. At. Life. Kinda ya,0
289643589573689346,RT : My life is so depressing I do the same shit everyday,0
289643614710145024,RT : I have a sad life,0
289643652257566720,I'am very happy,1
289643660813938688,I'm good,1
289643845401067520,RT : I'm truly blessed,1
289643899985731584,still not ready I hate life omg,0
289643929148731392,I hate myself,0
289644054864609280,RT : I believe in my dreams & I believe I can get what I desire so,1
289644067472683009,"RT @MegHatton1: my life, my life makes me wanna run awayy",0
289644184854487042,I have no life,0
289644252265320448,“@sassykaits: @Cinnamon_Jesus bet you never who?”  BET YOU NEVER SEEN A MAN CRY SO MUCH WHILE WATCHING A WALK TO REMEMBER. MY LIFE SUCKS,0
289644516275793922,@JamQueens I'm sad because I'm depressed,0
289644549968654336,Life would probably be easier if I were atleast good at things,0
289644575105118209,My last tweet was a lie I hate my life and I hate all of you,0
289644620961427456,Two words that describe my whole life #thestruggle,0
289644650631950336,"@AweesomePolly I know, I hate life too",0
289644805808615425,i feel so stupid .. i hate my life,0
289644843393765376,RT : I have amazing friends.,1
289645082607484928,I'm good,1
289645267203002368,my life is exciting isn't it,1
289645506060222464,Fuck my life,0
289645556580630528,I already be a bad boy! Hahaha,0
289645632090697728,RT : I've got the best-friends ever,1
289645648960188416,my life is complete.....😎💕❤💋😃,1
289645707588161536,I feel good <3,1
289645732867231744,I DO WHAT I WANT,1
289645757823328256,I do this shit to myself,0
289645808264019968,I feel good,1
289645837498322944,RT : I'm down for whatever and I aim to please,0
289645837624164355,I'm not lucky I'm blessed bitch,1
289645871061168129,I feel so good,1
289645871249891329,Sometimes i just want to be able to feel happy,0
289645879655272448,"RT @swasylenko2: i have been blessed with a beautiful life, with wonderful people and i wouldn't change it for a goddamn thing. #happy",1
289645950782291968,My life is in shambles,0
289645984429002752,"Fuck my life, like honestly",0
289646051709816832,"Double geography, I love life",1
289646227702829056,I'M HAPPY,1
289646311689580544,RT : I'm proud of the person I'm becoming.,1
289646315577679872,I'm a good girl tho,1
289646408062074881,I have the best mates,1
289646433177583617,IM TALKING TO MYSELF I LOVE MY LIFE,1
289646462688718849,my life is full of empty promises and broken dreams,0
289646538127450112,"RT @damnitstrue: Dear God, thanks for this beautiful life and forgive me if I don't love it enough",1
289646563087769600,Fuck my competitive life. Lol,0
289646655433740290,Its sad that i find happiness in a boy an when he leaves so does my happiness,0
289646835583315970,uh I'm totes proud of myself,1
289646847901970432,"Yea, I'm good",1
289646865417400320,I'm happy,1
289646974255394816,RT : i'm single and very happy,1
289646978453884928,Feels like I'm doing things all wrong,0
289647142115614721,This life I'm living is nothing more than a blessing,1
289647301264277504,": I hate myself for loving you	0
289647305508933632	I'm So Happy	1
289647377042776064	Ahahahahahaha. Fuck my life	0
289647403731152896	Love my life	1
289647502670585856	RT : I'm proud of the person I'm becoming.	1
289647515219947520	i'm having a reeal good fucking time	1
289647536170471425	NO IM NO ONE'S WIFE BUT OOOH I LOVE MY LIFE	1
289647653996883969	RT : i'm having a reeal good fucking time	1
289647704206880768	Mister Jesus, i love to be me	1
289647720917000193	Sigh i feel so bad	0
289647884499046401	lol. I'm good	1
289647980804464641	I'm in love	1
289648030934773761	so true I love myself material lol	1
289648031144497154	Damn I suck	0
289648090078670848	I'm slutty but I'm a good person",1
289648169657176064,No matter in what situation I'm in. I always feel blessed for all I have and every person that's in my life.   Truly blessed,1
289648169866891264,"I found that if you love life, life will love you back",1
289648182131060737,Omg my life = shit show.,0
289648219883970560,@RazzAina fishcake i am so happy i cant even describe,1
289648219900743680,I'm terrible,0
289648228276793344,I wish to be happy like others,0
289648421395111937,Life if happiness happiness is the fact that i can do something right now -Donghae,1
289648488613044224,RT : I get what I want,1
289648568095109120,"RT @b_llyhemphill: Moneys good, family good, works good, I'm good, shit life's good",1
289648648025944064,My life is wonderful minus the bs,1
289648798714716160,RT : My life is wonderful minus the bs,1
289648991778525184,-I Hate How Much I Love You Boy,0
289649096732581888,i love myself bcoz im POGI,1
289649109269352449,i love this life i have to be famous,1
289649159668105216,I'm enjoying myself though. Entrainment,1
289649285170081792,i'm just blessed,1
289649364719239168,I love my life I love my life I love my life,1
289649520223068160,"RT! "": Life's treating me good",1
289649557749514240,"Yep , thats my life . Boring",0
289649587575193601,I'm good,1
289649650317787136,I love my life,1
289649687802298368,RT : God stays with me so I know I'm blessed,1
